#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.391002472280833757e+01	9.507075110100281279e+00	-5.391002472280833757e+01	9.507075110100281279e+00	0.000000000000000000e+00	3.034688842810572343e-02	2.803960460999892646e-03	9.986510984849807926e-01	3.470113448989146920e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	1.499999999999999944e-01	1.000140000000000029e+00	3.555677084742961402e-02	0.000000000000000000e+00	2.207454153057100132e-01	8.334145536835993462e-02	7.544750404099402619e-03	1.515299188515635553e-01	1.507043865244273827e-311
5.500000000000000444e-01	-4.731066792529308884e+01	9.353814609051761764e+00	-4.731066792529308884e+01	9.353814609051761764e+00	0.000000000000000000e+00	3.034464697924454599e-02	2.753891496738443845e-03	9.985621317260963137e-01	3.442197314834179872e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	1.499999999999999944e-01	1.000059999999999949e+00	3.556202417056084780e-02	0.000000000000000000e+00	2.207454153057100132e-01	8.332787560656887416e-02	7.395959260993186825e-03	1.515052283755797258e-01	1.507109288942793105e-311
1.100000000000000089e+00	-4.071023564502213077e+01	9.235433463281967903e+00	-4.071023564502213077e+01	9.235433463281967903e+00	0.000000000000000000e+00	3.034163327471551055e-02	2.690145951434155976e-03	9.984781589692074411e-01	3.414584652417480132e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.499999999999999944e-01	9.999850000000000128e-01	3.556727749369208852e-02	0.000000000000000000e+00	2.207454153057100132e-01	8.769726341276515291e-02	7.586680466874225204e-03	1.594495698413912754e-01	0.000000000000000000e+00
1.650000000000000133e+00	-3.443866024350347743e+01	9.153851032807565957e+00	-3.443866024350347743e+01	9.153851032807565957e+00	0.000000000000000000e+00	3.033877418577838464e-02	2.633704502642932217e-03	9.983991800780164239e-01	3.387281790695477468e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	1.499999999999999667e-01	9.999149999999999983e-01	3.557253081682332230e-02	0.000000000000000000e+00	2.207454153057100132e-01	9.255333398005100021e-02	7.821300621505086759e-03	1.682787890546380838e-01	0.000000000000000000e+00
2.200000000000000178e+00	-2.849614065670450103e+01	9.102884851955931111e+00	-2.849614065670450103e+01	9.102884851955931111e+00	0.000000000000000000e+00	3.033568332676129728e-02	2.577407018688786071e-03	9.983042269419383219e-01	3.360224634380973990e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.499999999999999667e-01	9.998289999999999678e-01	3.557778413995456301e-02	0.000000000000000000e+00	2.207454153057100132e-01	7.571060223069470130e-02	6.245956348371082406e-03	1.376556404194450023e-01	0.000000000000000000e+00
2.750000000000000000e+00	-2.123163629674554898e+01	9.073273196127418672e+00	-2.123163629674554898e+01	9.073273196127418672e+00	0.000000000000000000e+00	3.033236074487584769e-02	2.522719970734871916e-03	9.982132693146582580e-01	3.333488171731753547e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.499999999999999667e-01	9.997470000000000523e-01	3.558303746308579679e-02	0.000000000000000000e+00	2.207454153057100132e-01	7.929999367545302602e-02	6.386411666424521294e-03	1.441818066826417444e-01	0.000000000000000000e+00
3.300000000000000266e+00	-1.429594848003578988e+01	9.076241634792097557e+00	-1.429594848003578988e+01	9.076241634792097557e+00	0.000000000000000000e+00	3.032911551357548446e-02	2.475510226806856492e-03	9.981213148031532478e-01	3.307062707429553328e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.499999999999999667e-01	9.996639999999999970e-01	3.558829078621703751e-02	0.000000000000000000e+00	2.207454153057100132e-01	7.928420517950091062e-02	6.249364349056416891e-03	1.441531003263651356e-01	0.000000000000000000e+00
3.850000000000000533e+00	-7.358879504509197034e+00	9.107350796382871039e+00	-7.358879504509197034e+00	9.107350796382871039e+00	0.000000000000000000e+00	3.045285939215401638e-02	2.442429194075960465e-03	9.980183789575423070e-01	3.280922800621303287e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	1.499999999999999667e-01	9.995699999999999585e-01	3.559354410934827823e-02	0.000000000000000000e+00	2.207454153057100132e-01	6.964945175399327171e-02	5.379401367674141801e-03	1.266353668254423526e-01	0.000000000000000000e+00
4.400000000000000355e+00	5.378086408998754564e-01	9.174125124722147362e+00	5.378086408998754564e-01	9.174125124722147362e+00	0.000000000000000000e+00	3.051741411185562511e-02	2.408187092215706860e-03	9.979074573934806347e-01	3.255086508208811930e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.499999999999999389e-01	9.994680000000000231e-01	3.559879743247951200e-02	0.000000000000000000e+00	2.207454153057100132e-01	6.203503118212493755e-02	4.700172265171392513e-03	1.127909657856817488e-01	0.000000000000000000e+00
4.950000000000000178e+00	9.403766947349140537e+00	9.285180108493463536e+00	9.403766947349140537e+00	9.285180108493463536e+00	0.000000000000000000e+00	3.051339651727762517e-02	2.378547018005339794e-03	9.977985346243962717e-01	3.229594323003385364e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.499999999999999389e-01	9.993680000000000341e-01	3.560405075561075272e-02	0.000000000000000000e+00	2.207454153057100410e-01	6.698175611073220459e-02	4.999336729497742653e-03	1.217850111104221283e-01	0.000000000000000000e+00
