#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	6.630237345789896608e+01	9.025929270079602773e+00	nan	nan	nan	7.020981353235848654e-02	6.621996487338718644e-03	9.973054998100346902e-01	3.088785771303837954e-02	nan	nan	nan	nan	6.439430000000000154e-02	1.511853465760526760e-01	9.940799999999999637e-01	3.151889018429706452e-02	8.963249999999999318e+01	2.244325568265691517e-01	1.204100873514802883e-01	1.133222187607804687e-02	nan	1.507129203068916395e-311
1.900000000000000000e+01	7.460732549303014594e+01	8.916371146856439722e+00	nan	nan	nan	7.350502253754120918e-02	6.763595721240954831e-03	9.971924907666737115e-01	3.045185234312093592e-02	nan	nan	nan	nan	6.738280000000000658e-02	1.512258679532851036e-01	9.939700000000000202e-01	3.153606878928405521e-02	8.965070000000000050e+01	2.244719496720743723e-01	1.230468787119478463e-01	1.127331897038516897e-02	nan	1.507128999624541013e-311
2.000000000000000000e+01	8.273430937484803849e+01	8.871924165292659481e+00	nan	nan	nan	6.227035316278131671e-02	5.596765723214628882e-03	9.970493851362106641e-01	3.002839448224068827e-02	nan	nan	nan	nan	5.705279999999998686e-02	1.512698973711460726e-01	9.938299999999999912e-01	3.155324739427103897e-02	8.966030000000000655e+01	2.245105175759544436e-01	1.029045173933951229e-01	9.187152215201329492e-03	nan	0.000000000000000000e+00
2.100000000000000000e+01	9.245205574138591942e+01	8.894916274826069724e+00	nan	nan	nan	7.640752529847073815e-02	6.735934023227930709e-03	9.968962478928590221e-01	2.961867921794165623e-02	nan	nan	nan	nan	6.996760000000001867e-02	1.513136264212428528e-01	9.936800000000000077e-01	3.157042599925802967e-02	8.966280000000000427e+01	2.245566596855507191e-01	1.250535629185656472e-01	1.092392296235241735e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	1.004486291828895048e+02	8.971233275493380788e+00	nan	nan	nan	8.388555295620776786e-02	7.298675487064486093e-03	9.967330791166609805e-01	2.922329108298246311e-02	nan	nan	nan	nan	7.677929999999999477e-02	1.513515958714835297e-01	9.935199999999999587e-01	3.158760460424501343e-02	8.970000000000000284e+01	2.245946496994974950e-01	1.355639486669942273e-01	1.165997860050065754e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	1.078252216311992555e+02	9.083696414101744665e+00	nan	nan	nan	7.426607544987674780e-02	6.399752393297326869e-03	9.965699112013343131e-01	2.884311377858486680e-02	nan	nan	nan	nan	6.794200000000000239e-02	1.513905445173800990e-01	9.933600000000000207e-01	3.160478320923200413e-02	8.971769999999999357e+01	2.246297106773156027e-01	1.192579044058325322e-01	1.013533830104728674e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.162104100594397664e+02	9.256414904780754682e+00	nan	nan	nan	6.923453101593109171e-02	5.931314892573794420e-03	9.963967118598821004e-01	2.847844941774889047e-02	nan	nan	nan	nan	6.330510000000000304e-02	1.514337365922382161e-01	9.931900000000000173e-01	3.162196181421898789e-02	8.971939999999999316e+01	2.246695846061820268e-01	1.100705386669561386e-01	9.278228290288974625e-03	nan	0.000000000000000000e+00
2.500000000000000000e+01	1.252954932443756633e+02	9.492707805508254992e+00	nan	nan	nan	7.842928384345260184e-02	6.714671282266126452e-03	9.961733521311010309e-01	2.812876865202487697e-02	nan	nan	nan	nan	7.167479999999998297e-02	1.514761456844075371e-01	9.929700000000000193e-01	3.163914041920597858e-02	8.972740000000000293e+01	2.247128096920438245e-01	1.240708680314774326e-01	1.042940721936624036e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	1.333554030029363560e+02	9.741395261269353512e+00	nan	nan	nan	7.184917172472125857e-02	6.178081653884906488e-03	9.959499935833605599e-01	2.779611504699474808e-02	nan	nan	nan	nan	6.562740000000000240e-02	1.515180152951934311e-01	9.927500000000000213e-01	3.165631902419296234e-02	8.973749999999999716e+01	2.247511772082129156e-01	1.128955738607700376e-01	9.513588748570674103e-03	nan	0.000000000000000000e+00
2.700000000000000000e+01	1.422131461880966867e+02	1.005364554082114736e+01	nan	nan	nan	6.465224323183027533e-02	5.424243112850305089e-03	9.957266362166559137e-01	2.748107810960534816e-02	nan	nan	nan	nan	5.905320000000002789e-02	1.515719423888831630e-01	9.925300000000000233e-01	3.167349762917995304e-02	8.974370000000000402e+01	2.247957445492510531e-01	1.002196013025495880e-01	8.216360867146495911e-03	nan	0.000000000000000000e+00
