#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-2.641385815443543805e+01	9.331557460422533978e+00	nan	nan	nan	3.206417308979536696e-01	2.873392636523537311e-02	9.955661744222361609e-01	2.797111742253367492e-02	nan	nan	nan	nan	3.661119999999999930e-01	1.499999999999999944e-01	9.986000000000000432e-01	2.835357850964739454e-02	7.036914285714290429e+01	2.319344438079189719e-01	6.432918297604530711e-01	5.920065439653803691e-02	nan	1.507043865244273827e-311
9.000000000000000000e+00	-2.485935372310700586e+01	9.308887346889934022e+00	nan	nan	nan	2.909652206291173937e-01	2.593978899620238629e-02	9.953704456815517521e-01	2.755960131587862835e-02	nan	nan	nan	nan	3.322499999999999343e-01	1.499999999999999944e-01	9.983999999999999542e-01	2.830266304183582521e-02	7.036914285714290429e+01	2.319835137542097803e-01	5.563097262333426274e-01	5.086460705859187359e-02	nan	1.507130184425579942e-311
1.000000000000000000e+01	-2.306179392351336688e+01	9.285362444530798953e+00	nan	nan	nan	2.973877236382054812e-01	2.636688019472130731e-02	9.951747154865436817e-01	2.715508536485855898e-02	nan	nan	nan	nan	3.396090000000000497e-01	1.499999999999999944e-01	9.981999999999999762e-01	2.825174757402425935e-02	7.036914285714290429e+01	2.320402523488049595e-01	5.534444199983208357e-01	5.026007421568477046e-02	nan	5.378317909109342487e-02
1.100000000000000000e+01	-2.125492775255615641e+01	9.264585970864294140e+00	nan	nan	nan	3.280059568541927040e-01	2.892985727074924227e-02	9.948792865442340760e-01	2.675519034820764488e-02	nan	nan	nan	nan	3.746009999999999618e-01	1.499999999999999944e-01	9.979000000000000092e-01	2.820083210621269001e-02	7.036914285714290429e+01	2.320972806674262423e-01	6.010102573054850739e-01	5.422476333306289892e-02	nan	4.790583548111878448e-02
1.200000000000000000e+01	-1.959106263903328582e+01	9.247964452143879299e+00	nan	nan	nan	2.808113052813195343e-01	2.463445528217498778e-02	9.946835530735984587e-01	2.636563129760961452e-02	nan	nan	nan	nan	3.207260000000000666e-01	1.499999999999999944e-01	9.977000000000000313e-01	2.814991663840112415e-02	7.036914285714290429e+01	2.321497920251952285e-01	5.112631319540531516e-01	4.582140927756397225e-02	nan	4.982889999528226921e-02
1.300000000000000000e+01	-1.763512265920726207e+01	9.231458583867427237e+00	nan	nan	nan	2.480291768267030850e-01	2.162379332500814419e-02	9.944878181486136448e-01	2.598401433259234922e-02	nan	nan	nan	nan	2.833090000000000330e-01	1.499999999999999944e-01	9.975000000000000533e-01	2.809900117058955482e-02	7.036914285714290429e+01	2.322115168514381767e-01	4.357516149312258280e-01	3.876370655646573654e-02	nan	5.200255501073240694e-02
1.400000000000000000e+01	-1.534023730311321998e+01	9.216206142785409838e+00	nan	nan	nan	3.140618768584655940e-01	2.721748519810469197e-02	9.942920817692713076e-01	2.561067825548346902e-02	nan	nan	nan	nan	3.587650000000000006e-01	1.499999999999999944e-01	9.972999999999999643e-01	2.804808570277798896e-02	7.036914285714290429e+01	2.322839319166025707e-01	5.347936779994866274e-01	4.723206130034960509e-02	nan	4.810542448210169963e-02
1.500000000000000000e+01	-1.347035730800796749e+01	9.207005223241866432e+00	nan	nan	nan	2.798318464220655999e-01	2.411501053497545205e-02	9.940963439355635645e-01	2.524597398468803738e-02	nan	nan	nan	nan	3.196889999999998899e-01	1.499999999999999944e-01	9.970999999999999863e-01	2.799717023496641963e-02	7.036914285714290429e+01	2.323429311023507693e-01	4.709803187134524172e-01	4.131144095456416865e-02	nan	5.077208363052138768e-02
1.600000000000000000e+01	-1.134712633578467411e+01	9.200003579467502135e+00	nan	nan	nan	2.773529071810959534e-01	2.376015954589432225e-02	9.938009055197214447e-01	2.488776750386575629e-02	nan	nan	nan	nan	3.168850000000000833e-01	1.499999999999999944e-01	9.968000000000000194e-01	2.794625476715485377e-02	7.036914285714290429e+01	2.324099188557848250e-01	4.604744686730067316e-01	4.010211647574798283e-02	nan	4.964380999295485430e-02
1.700000000000000000e+01	-9.175453272385968972e+00	9.196562094878308002e+00	nan	nan	nan	2.667422734872804124e-01	2.271407243262527076e-02	9.936051644102963376e-01	2.454146075092508011e-02	nan	nan	nan	nan	3.047900000000001164e-01	1.499999999999999944e-01	9.966000000000000414e-01	2.789533929934328443e-02	7.036914285714290429e+01	2.324784291465814279e-01	4.363890086335585616e-01	3.773074481493577520e-02	nan	4.395015046165926670e-02
1.800000000000000000e+01	-6.883919846438221413e+00	9.196924397569778975e+00	nan	nan	nan	2.859591953180847246e-01	2.420806691797183080e-02	9.933097219847935033e-01	2.420247749342355550e-02	nan	nan	nan	nan	3.267780000000000129e-01	1.499999999999999944e-01	9.962999999999999634e-01	2.784442383153171857e-02	7.036914285714290429e+01	2.325507143246900998e-01	4.610433615656084894e-01	3.958153906481799017e-02	nan	4.705082600881749233e-02
1.900000000000000000e+01	-4.714926464548490515e+00	9.200961221381405153e+00	nan	nan	nan	2.440081868379648522e-01	2.053168121932176515e-02	9.931139775996133956e-01	2.387610349122337369e-02	nan	nan	nan	nan	2.788659999999998362e-01	1.499999999999999944e-01	9.960999999999999854e-01	2.779350836372014924e-02	7.036914285714290429e+01	2.326191280131578165e-01	3.880699326080816469e-01	3.307567043244191707e-02	nan	4.813458660393728217e-02
2.000000000000000000e+01	-2.138071325889971064e+00	9.210315707956976183e+00	nan	nan	nan	2.526809521216217269e-01	2.112765056329815247e-02	9.929182317600248053e-01	2.356028031219722929e-02	nan	nan	nan	nan	2.888079999999999536e-01	1.499999999999999944e-01	9.959000000000000075e-01	2.774259289590858338e-02	7.036914285714290429e+01	2.327003987049798550e-01	3.970732452853518724e-01	3.359068069346037022e-02	nan	4.840036707862350324e-02
