#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.620636535831424396e+01	9.962502408429482870e+00	nan	nan	nan	8.827254966022024529e-02	1.292401706910493650e-02	1.540281096330674337e+00	5.594556034341198192e-01	nan	nan	nan	nan	8.742999999999999383e-02	1.499999999999999944e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.359645395665479428e-01	5.237153770397628277e-02	nan	1.507127168364295915e-311
1.000000000000000000e+00	-4.885150648711165644e+01	9.864411796599274140e+00	nan	nan	nan	8.854339277235154237e-02	1.319218915286817298e-02	1.560878073006413791e+00	5.323839271090194947e-01	nan	nan	nan	nan	8.742999999999999383e-02	1.499999999999999389e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.382054402879581145e-01	5.022266324542270372e-02	nan	1.507127232869506636e-311
2.000000000000000000e+00	-4.161590130459171633e+01	1.043400024824406458e+01	nan	nan	nan	8.867606126002516853e-02	1.295294388906605317e-02	1.581750476972140662e+00	5.047993996563355790e-01	4.632459999999999667e+01	1.186040310979405987e+01	nan	nan	8.742999999999997995e-02	1.500000000000000222e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.402634021940555864e-01	4.778403018167836497e-02	nan	0.000000000000000000e+00
3.000000000000000000e+00	-3.448645781215103057e+01	1.140887156070432162e+01	nan	nan	nan	8.872338018775526025e-02	1.312897298170773858e-02	1.602901991301990403e+00	4.767670998139295069e-01	4.632459999999999667e+01	1.168722695748284579e+01	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.422148827779964597e-01	4.566189784425414566e-02	nan	0.000000000000000000e+00
4.000000000000000000e+00	-2.745484494248363916e+01	1.257412337607896369e+01	nan	nan	nan	8.868958484166956924e-02	1.289197557343222181e-02	1.624336348320974066e+00	4.483771933597986981e-01	4.632459999999999667e+01	1.188855731284088257e+01	nan	nan	8.743000000000000771e-02	1.499999999999999667e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.440617163758207697e-01	4.330288658982923283e-02	nan	0.000000000000000000e+00
5.000000000000000000e+00	-2.051337551426128414e+01	1.379266903682730216e+01	nan	nan	nan	8.867732010178724922e-02	1.304915684329103175e-02	1.646057330263571705e+00	4.197546776140423375e-01	4.632459999999999667e+01	1.166336008629582288e+01	nan	nan	8.742999999999995220e-02	1.500000000000001055e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.459679527816760691e-01	4.125731797403446588e-02	nan	0.000000000000000000e+00
6.000000000000000000e+00	-1.366255668078968455e+01	1.499139328561555118e+01	nan	nan	nan	8.866463061663179546e-02	1.321124699506142676e-02	1.668068769941131846e+00	3.910735043960142376e-01	4.632459999999999667e+01	1.192550902893329123e+01	nan	nan	8.743000000000000771e-02	1.500000000000000777e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.478987013299698228e-01	3.928549137180563366e-02	nan	0.000000000000000000e+00
7.000000000000000000e+00	-6.901172091151217103e+00	1.612551233921268690e+01	nan	nan	nan	8.863473443331983115e-02	1.299166601386167116e-02	1.690374551418197591e+00	3.625771501713664913e-01	4.632459999999999667e+01	1.174578450242750804e+01	nan	nan	8.743000000000000771e-02	1.500000000000000222e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.498258994577940928e-01	3.705060923330448508e-02	nan	0.000000000000000000e+00
8.000000000000000000e+00	-2.267586311359153228e-01	1.716842503069561587e+01	nan	nan	nan	8.860953080719377595e-02	1.289145143690278821e-02	1.712978610697874382e+00	3.346084534432680058e-01	4.632459999999999667e+01	1.162382636294786131e+01	nan	nan	8.743000000000000771e-02	1.499999999999999944e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.517862309766973006e-01	3.501822532525891707e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	6.361454236166409260e+00	1.810537246210424911e+01	nan	nan	nan	8.858833703133567328e-02	1.285033105107523214e-02	1.735884936416365321e+00	3.076519625502743271e-01	4.632459999999999667e+01	1.162198215636463772e+01	nan	nan	8.743000000000000771e-02	1.500000000000001332e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.537791597948716671e-01	3.318711928047325677e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	1.286428596794277723e+01	1.892795858099652051e+01	nan	nan	nan	8.857109254384842867e-02	1.284213954096447528e-02	1.759097570546791500e+00	2.823906568066019140e-01	4.632459999999999667e+01	1.165327280212554051e+01	nan	nan	8.743000000000000771e-02	1.500000000000000500e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.558051937145588095e-01	3.159099317508327898e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	1.928255724734594878e+01	1.963236335247977848e+01	nan	nan	nan	8.855534272901577353e-02	1.287168777769906805e-02	1.782620609112424814e+00	2.597718047944806985e-01	4.632459999999999667e+01	1.166689352902008636e+01	nan	nan	8.742999999999989669e-02	1.499999999999999389e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.578605789957576444e-01	3.031086138607677269e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	2.561726098631343973e+01	2.021767242532121500e+01	nan	nan	nan	8.854071416711969955e-02	1.297142967078645896e-02	1.806458202909458688e+00	2.410562562553764387e-01	4.632459999999999667e+01	1.164424106067163933e+01	nan	nan	8.742999999999989669e-02	1.500000000000000222e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.599450993986550884e-01	2.947252371633566487e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	3.186940627716445817e+01	2.068498170653971613e+01	nan	nan	nan	8.853124020956136542e-02	1.319659943286021972e-02	1.830614558239444856e+00	2.277856468782377686e-01	4.632459999999999667e+01	1.159459938713456317e+01	nan	nan	8.742999999999989669e-02	1.500000000000002720e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.620665771866163507e-01	2.923525786746876756e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	3.803970997185236058e+01	2.103695231009977462e+01	nan	nan	nan	8.850733415197344078e-02	1.300935658316410698e-02	1.855093937651520974e+00	2.215675504787634476e-01	4.632459999999999667e+01	1.155215969266130216e+01	nan	nan	8.742999999999989669e-02	1.500000000000002165e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.641894190230233641e-01	2.887446465400754156e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	4.413023642569025640e+01	2.127760833718074807e+01	nan	nan	nan	8.847957790406112133e-02	1.276404363153072971e-02	1.879900660694567849e+00	2.236454164363400332e-01	4.632459999999999667e+01	1.157356516243321565e+01	nan	nan	8.742999999999989669e-02	1.499999999999998834e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.663328169598209949e-01	2.893078389285884053e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	5.014227913787229340e+01	2.141217652756290946e+01	nan	nan	nan	8.842009054220738296e-02	1.274172264925804189e-02	1.905039104679418616e+00	2.344548319947308834e-01	4.632459999999999667e+01	1.173358094427914899e+01	nan	nan	8.739000000000007873e-02	1.499999999999998279e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.684437301221998751e-01	2.984386539481697839e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	5.607897977537619738e+01	2.144648383755327004e+01	nan	nan	nan	7.996745169309464607e-02	1.169983565660053827e-02	1.930513705451269990e+00	2.535187360264857248e-01	4.632459999999999667e+01	1.191732701605083733e+01	nan	nan	7.903999999999999915e-02	1.499999999999997446e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.543782614835315925e-01	2.857015937949246992e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	6.255657571660705685e+01	2.138187971954211974e+01	nan	nan	nan	7.995853051867246597e-02	1.193451564640115627e-02	1.956328958172412813e+00	2.797622992954668653e-01	4.632459999999999667e+01	1.158104687094420271e+01	nan	nan	7.903999999999999915e-02	1.500000000000001055e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.564251887065915836e-01	3.067080939027288719e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	6.894940802365775312e+01	2.122567500893285697e+01	nan	nan	nan	7.992348695693606009e-02	1.171023588812077250e-02	1.982489418115433777e+00	3.119527344009868641e-01	4.632459999999999667e+01	1.150079440127259645e+01	nan	nan	7.903999999999999915e-02	1.500000000000002442e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.584474671510126276e-01	3.252721008288549792e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	7.526064807047355032e+01	2.099030951334869144e+01	nan	nan	nan	7.988798533918915756e-02	1.147606356601374444e-02	2.008999701467024224e+00	3.489890284535607234e-01	4.632459999999999667e+01	1.153314556621227815e+01	nan	nan	7.903999999999999915e-02	1.499999999999995781e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.604949386972330250e-01	3.475067821868398771e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	8.149137414892301479e+01	2.068927075593024512e+01	nan	nan	nan	7.986341306582128707e-02	1.145765489699845235e-02	2.035864486142535235e+00	3.900028637818220845e-01	4.632459999999999667e+01	1.171618868402673641e+01	nan	nan	7.903999999999999915e-02	1.499999999999999944e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.625910864028372871e-01	3.758874846466358360e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	8.764177280929230562e+01	2.033746772249311618e+01	nan	nan	nan	7.985098272832204247e-02	1.177159463127651351e-02	2.063088512611429781e+00	4.343509458031096226e-01	4.632459999999999667e+01	1.190399914393386105e+01	nan	nan	7.903999999999999915e-02	1.499999999999997724e-01	4.070000000000000007e-02	1.000000000000000000e+00	4.632459999999999667e+01	2.592999999999999750e-01	1.647396451875348944e-01	4.111507910701694968e-02	nan	0.000000000000000000e+00
