#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.995246158108518841e+01	9.969556769223643755e+00	nan	nan	nan	2.177950822797757036e-02	2.910004596469680828e-03	9.946634994122073303e-01	2.661244344171782503e-02	nan	nan	nan	nan	2.188800000000000121e-02	1.500555513344239145e-01	9.947300000000000031e-01	2.715157381045694290e-02	9.995369456253919793e+01	2.245433194414299949e-01	5.656209365409172601e-02	7.630184682070616925e-03	nan	1.507043865244273827e-311
1.000000000000000000e+00	-3.227277655889436403e+01	1.016619632935460160e+01	nan	nan	nan	2.177897059942183675e-02	2.851132713261785284e-03	9.942162331929687014e-01	2.622189947117939401e-02	nan	nan	nan	nan	2.188899999999999527e-02	1.500863050624356709e-01	9.942699999999999871e-01	2.723064492192204741e-02	9.993837724881490203e+01	2.245433194414299949e-01	5.580671678396285917e-02	7.372466172929725489e-03	nan	1.507127599553171404e-311
2.000000000000000000e+00	-1.435378655861953234e+01	1.088198570969692902e+01	nan	nan	nan	2.177940536247618269e-02	2.814251869900859064e-03	9.937689553818253030e-01	2.584053942374954504e-02	nan	nan	nan	nan	2.189100000000000767e-02	1.501175098578966527e-01	9.938099999999999712e-01	2.730971603338715192e-02	9.992305993509050666e+01	2.245433194414299949e-01	5.493324090331289100e-02	7.158247033675732736e-03	nan	2.906387000000008099e-03
3.000000000000000000e+00	3.850127566164836423e+00	1.202151746987455994e+01	nan	nan	nan	2.177882064295711892e-02	2.801015466224224173e-03	9.933316656933169897e-01	2.546899239470541004e-02	nan	nan	nan	nan	2.189199999999999480e-02	1.501492058401663332e-01	9.933600000000000207e-01	2.738878714485225296e-02	9.991064966745740605e+01	2.245433194414299671e-01	5.408398046526147196e-02	7.008808881562802844e-03	nan	2.914526999999988814e-03
4.000000000000000000e+00	2.233989091933199234e+01	1.348434739666072879e+01	nan	nan	nan	2.177920416368713669e-02	2.813199995665803879e-03	9.928843648254618293e-01	2.510712625286621799e-02	nan	nan	nan	nan	2.189399999999999680e-02	1.501814333275953983e-01	9.929000000000000048e-01	2.746785825631735747e-02	9.991588896877080117e+01	2.245433194414299671e-01	5.313078941637974784e-02	6.908511332273473485e-03	nan	2.914526999999988814e-03
5.000000000000000000e+00	4.116136921816014649e+01	1.519705008984315420e+01	nan	nan	nan	2.177857530983799694e-02	2.850316954080769991e-03	9.924370523650339893e-01	2.475559602098228312e-02	nan	nan	nan	nan	2.189499999999999780e-02	1.502142998345395442e-01	9.924399999999999888e-01	2.754692936778246198e-02	9.990335845278690385e+01	2.245433194414299671e-01	5.220740358745297460e-02	6.871137320688450872e-03	nan	2.914526999999988814e-03
6.000000000000000000e+00	6.031574065371512461e+01	1.711034669325054836e+01	nan	nan	nan	2.178013313821313898e-02	2.777980073747773719e-03	9.919897283118100928e-01	2.441480669249029151e-02	nan	nan	nan	nan	2.189699999999999980e-02	1.502551248577073950e-01	9.919799999999999729e-01	2.762600047924756649e-02	9.988980535683309370e+01	2.245433194414299671e-01	5.144206751040739101e-02	6.594681604106652530e-03	nan	2.915340999999958046e-03
7.000000000000000000e+00	7.975508375161233232e+01	1.912856018366897359e+01	nan	nan	nan	2.178068935301667036e-02	2.731234377118697734e-03	9.915423926655674292e-01	2.408517220223838767e-02	nan	nan	nan	nan	2.189800000000000080e-02	1.502966026478612382e-01	9.915199999999999569e-01	2.770507159071266753e-02	9.987625233591730023e+01	2.245433194414299671e-01	5.057722912176955410e-02	6.370351794806659515e-03	nan	2.978832999999867902e-03
8.000000000000000000e+00	9.952682722914455837e+01	2.121780152036291511e+01	nan	nan	nan	2.037283759068263950e-02	2.537401570730377347e-03	9.910950454260821774e-01	2.376711416004065672e-02	nan	nan	nan	nan	2.048300000000000121e-02	1.503403062035838511e-01	9.910600000000000520e-01	2.778414270217777204e-02	9.986269923996360376e+01	2.245433194414299671e-01	4.641705378711679514e-02	5.802237768516361680e-03	nan	2.978832999999867902e-03
9.000000000000000000e+00	1.210706331886161564e+02	2.351329792796304119e+01	nan	nan	nan	2.181257960682834313e-02	2.731016649825196863e-03	9.906476865931314046e-01	2.346106034669302731e-02	nan	nan	nan	nan	2.193100000000000604e-02	1.503847319651237247e-01	9.906000000000000361e-01	2.786321381364287655e-02	9.984914618152879484e+01	2.245433194414299949e-01	4.888819349803849579e-02	6.137986700148938615e-03	nan	2.978832999999867902e-03
1.000000000000000000e+01	1.415254695907859741e+02	2.570518084166550921e+01	nan	nan	nan	2.244467694012068984e-02	2.856635299988167283e-03	9.902003161664915121e-01	2.316744295995000133e-02	nan	nan	nan	nan	2.256700000000000372e-02	1.504277387757981810e-01	9.901400000000000201e-01	2.794228492510798106e-02	9.983714254466849525e+01	2.245433194414299949e-01	4.949827661996050732e-02	6.311895536081427172e-03	nan	2.978832999999867902e-03
1.100000000000000000e+01	1.617281931659486531e+02	2.788608254630281635e+01	nan	nan	nan	2.015520927925429015e-02	2.501198026239429949e-03	9.897529341459398999e-01	2.288669660172766920e-02	nan	nan	nan	nan	2.026399999999997648e-02	1.504677189921569957e-01	9.896800000000000042e-01	2.802135603657308210e-02	9.984957881295909488e+01	2.245433194414299949e-01	4.374709982997238011e-02	5.435727179092852100e-03	nan	2.973541999999923698e-03
1.200000000000000000e+01	1.845868513144111489e+02	3.033639770536678526e+01	nan	nan	nan	1.871517212787609033e-02	2.281000951883276236e-03	9.893055405312530803e-01	2.261925600265611222e-02	nan	nan	nan	nan	1.881500000000002615e-02	1.505118681282485438e-01	9.892199999999999882e-01	2.810042714803818661e-02	9.986966685337779381e+01	2.245433194414299949e-01	3.981725479162128573e-02	4.855456858757848868e-03	nan	2.949935999999949918e-03
1.300000000000000000e+01	2.097015912740939143e+02	3.299017822546105805e+01	nan	nan	nan	1.991307797899076124e-02	2.423122807284642122e-03	9.888581353222074544e-01	2.236555348609309268e-02	nan	nan	nan	nan	2.001799999999998025e-02	1.505570434402744295e-01	9.887599999999999723e-01	2.817949825950329112e-02	9.988975496883459471e+01	2.245433194414300226e-01	4.171866347209855080e-02	5.075231225424954237e-03	nan	2.949935999999949918e-03
